,timestamp,angle,safety_switch_pressed,flex_myobrick_pos_encoder,flex_myobrick_torque_encoder,flex_myobrick_current,flex_myobrick_pwm,flex_myobrick_in_running_state,extend_myobrick_pos_encoder,extend_myobrick_torque_encoder,extend_myobrick_current,extend_myobrick_pwm,extend_myobrick_in_running_state
0,1675346063.051008,1587.0,False,-1.3038819815847091e-05,-11.0,0.03750000149011612,0.0,True,-0.0,0.0,0.16249999403953552,0.0,True
1,1675346063.101195,1587.0,False,-1.3038819815847091e-05,-11.0,0.0,0.0,True,-0.0,0.0,0.25,0.0,True
2,1675346063.151604,1586.0,False,-1.3038819815847091e-05,-11.0,0.08749999850988388,0.0,True,-0.0,0.0,0.02500000037252903,0.0,True
3,1675346063.2019126,1586.0,False,-1.3038819815847091e-05,-11.0,0.1875,0.0,True,-0.0,0.0,0.26249998807907104,0.0,True
4,1675346063.2521658,1585.0,False,-1.3038819815847091e-05,-11.0,0.15000000596046448,0.0,True,-0.0,0.0,0.03750000149011612,0.0,True
5,1675346063.3025043,1586.0,False,-1.3038819815847091e-05,-11.0,0.0625,0.0,True,-0.0,0.0,0.25,0.0,True
6,1675346063.3527708,1585.0,False,-1.3038819815847091e-05,-11.0,0.1875,0.0,True,-0.0,0.0,0.10000000149011612,0.0,True
7,1675346063.4029245,1587.0,False,-1.3038819815847091e-05,-11.0,-0.07500000298023224,0.0,True,-0.0,0.0,0.125,0.0,True
8,1675346063.4531996,1586.0,False,-1.3038819815847091e-05,-11.0,0.02500000037252903,0.0,True,-0.0,0.0,0.03750000149011612,0.0,True
9,1675346063.5035014,1587.0,False,-1.3038819815847091e-05,-11.0,0.07500000298023224,0.0,True,-0.0,0.0,0.1875,0.0,True
10,1675346063.5538054,1586.0,False,-1.3038819815847091e-05,-11.0,0.05000000074505806,0.0,True,-0.0,0.0,0.012500000186264515,0.0,True
11,1675346063.604099,1587.0,False,-1.3038819815847091e-05,-11.0,0.05000000074505806,0.0,True,-0.0,0.0,-0.07500000298023224,0.0,True
12,1675346063.6543164,1585.0,False,-1.3038819815847091e-05,-11.0,0.20000000298023224,0.0,True,-0.0,0.0,0.23749999701976776,0.0,True
13,1675346063.704506,1586.0,False,-1.3038819815847091e-05,-11.0,0.13750000298023224,0.0,True,-0.0,0.0,0.0,0.0,True
14,1675346063.754738,1587.0,False,-1.3038819815847091e-05,-11.0,-0.10000000149011612,0.0,True,-0.0,0.0,0.02500000037252903,0.0,True
15,1675346063.8049865,1587.0,False,-1.3038819815847091e-05,-11.0,0.02500000037252903,0.0,True,-0.0,0.0,0.05000000074505806,0.0,True
16,1675346063.8552778,1587.0,False,-1.3038819815847091e-05,-11.0,0.0625,0.0,True,-0.0,0.0,0.05000000074505806,0.0,True
17,1675346063.9056067,1586.0,False,-1.3038819815847091e-05,-11.0,0.02500000037252903,0.0,True,-0.0,0.0,0.125,0.0,True
18,1675346063.9559155,1586.0,False,-1.3038819815847091e-05,-11.0,-0.02500000037252903,0.0,True,-0.0,0.0,0.05000000074505806,0.0,True
19,1675346064.0061543,1587.0,False,-1.3038819815847091e-05,-11.0,-0.02500000037252903,0.0,True,-0.0,0.0,0.17499999701976776,0.0,True
20,1675346064.0565577,1587.0,False,-1.3038819815847091e-05,-11.0,0.012500000186264515,0.0,True,-0.0,0.0,0.02500000037252903,0.0,True
21,1675346064.1067774,1585.0,False,-0.0009648726554587483,135.0,0.16249999403953552,-2.0,True,0.005789236165583134,88.0,0.20000000298023224,7.0,True
22,1675346064.1572433,1579.0,False,-0.011435044929385185,-210.0,-0.11249999701976776,-2.0,True,0.04966486617922783,29.0,0.13750000298023224,7.0,True
23,1675346064.2074778,1574.0,False,-0.024526020511984825,-324.0,0.11249999701976776,7.0,True,0.08412646502256393,-23.0,-0.11249999701976776,-2.0,True
24,1675346064.2576973,1579.0,False,-0.0008214456611312926,-216.0,0.20000000298023224,-2.0,True,0.07600328326225281,-95.0,0.5,7.0,True
25,1675346064.307896,1575.0,False,-0.013169207610189915,-260.0,0.13750000298023224,-2.0,True,0.10016421228647232,-97.0,0.4375,7.0,True
26,1675346064.358186,1568.0,False,-0.05202488973736763,-325.0,0.375,-2.0,True,0.14157550036907196,-213.0,0.5375000238418579,7.0,True
27,1675346064.4085028,1559.0,False,-0.09729567170143127,-303.0,0.2750000059604645,-2.0,True,0.1773149073123932,-290.0,0.25,7.0,True
28,1675346064.458856,1554.0,False,-0.14139296114444733,-381.0,0.375,7.0,True,0.2150101363658905,-284.0,0.2874999940395355,-2.0,True
29,1675346064.5092208,1564.0,False,-0.1223302111029625,-352.0,0.15000000596046448,7.0,True,0.20734331011772156,-308.0,0.1875,-2.0,True
30,1675346064.5595665,1568.0,False,-0.08202721178531647,-245.0,-0.07500000298023224,-2.0,True,0.17322072386741638,-308.0,0.3375000059604645,7.0,True
31,1675346064.609705,1564.0,False,-0.09536592662334442,-282.0,-0.012500000186264515,-2.0,True,0.19448703527450562,-327.0,0.2874999940395355,7.0,True
32,1675346064.6601439,1558.0,False,-0.1281455159187317,-396.0,0.3125,-2.0,True,0.22288557887077332,-345.0,0.5375000238418579,7.0,True
33,1675346064.710298,1551.0,False,-0.162854865193367,-411.0,0.125,-2.0,True,0.2500845491886139,-364.0,0.26249998807907104,7.0,True
34,1675346064.7606046,1546.0,False,-0.224684938788414,-472.0,0.26249998807907104,-2.0,True,0.2954857349395752,-341.0,0.5874999761581421,7.0,True
