tick,angle,safety_switch_pressed,flex_myobrick_pos_encoder,flex_myobrick_torque_encoder,flex_myobrick_current,flex_myobrick_pwm,flex_myobrick_in_running_state,extend_myobrick_pos_encoder,extend_myobrick_torque_encoder,extend_myobrick_current,extend_myobrick_pwm,extend_myobrick_in_running_state
867789,1716.0,False,0.5230001211166382,-184.0,0.125,0.0,True,-1.0409281253814697,40.0,0.08749999850988388,0.0,True
867790,1715.0,False,0.5230001211166382,-184.0,0.11249999701976776,0.0,True,-1.0409281253814697,40.0,0.05000000074505806,0.0,True
867791,1715.0,False,0.5230001211166382,-184.0,0.11249999701976776,0.0,True,-1.0409281253814697,40.0,0.05000000074505806,0.0,True
867792,1714.0,False,0.5230001211166382,-184.0,-0.02500000037252903,0.0,True,-1.0409281253814697,40.0,0.012500000186264515,0.0,True
867793,1716.0,False,0.5230001211166382,-184.0,-0.02500000037252903,0.0,True,-1.0409281253814697,40.0,0.012500000186264515,0.0,True
867794,1715.0,False,0.5230001211166382,-184.0,-0.02500000037252903,0.0,True,-1.0409281253814697,40.0,0.012500000186264515,0.0,True
867795,1715.0,False,0.5230001211166382,-184.0,-0.0625,0.0,True,-1.0409281253814697,40.0,0.0,0.0,True
867796,1715.0,False,0.5230001211166382,-184.0,-0.0625,0.0,True,-1.0409281253814697,40.0,0.0,0.0,True
867797,1715.0,False,0.5230001211166382,-184.0,0.125,0.0,True,-1.0409281253814697,40.0,0.17499999701976776,0.0,True
867798,1715.0,False,0.5230001211166382,-184.0,0.125,0.0,True,-1.0409281253814697,40.0,0.17499999701976776,0.0,True
867799,1716.0,False,0.5230001211166382,-184.0,0.0,0.0,True,-1.0409281253814697,40.0,0.03750000149011612,0.0,True
867800,1715.0,False,0.5230001211166382,-184.0,0.0,0.0,True,-1.0409281253814697,40.0,0.03750000149011612,0.0,True
867801,1715.0,False,0.5230001211166382,-184.0,0.0,0.0,True,-1.0409281253814697,40.0,0.03750000149011612,0.0,True
867802,1715.0,False,0.5230001211166382,-184.0,0.0,0.0,True,-1.0409281253814697,40.0,0.03750000149011612,0.0,True
867803,1715.0,False,0.5230001211166382,-184.0,-0.012500000186264515,0.0,True,-1.0409281253814697,40.0,0.0625,0.0,True
867804,1715.0,False,0.5230001211166382,-184.0,-0.012500000186264515,0.0,True,-1.0409281253814697,40.0,0.0625,0.0,True
867805,1716.0,False,0.5230001211166382,-184.0,0.05000000074505806,0.0,True,-1.0409281253814697,40.0,0.26249998807907104,0.0,True
867806,1715.0,False,0.5230001211166382,-184.0,0.05000000074505806,0.0,True,-1.0409281253814697,40.0,0.26249998807907104,0.0,True
867807,1715.0,False,0.5230001211166382,-184.0,0.0,0.0,True,-1.0409281253814697,40.0,0.02500000037252903,0.0,True
867808,1715.0,False,0.5230001211166382,-184.0,0.0,0.0,True,-1.0409281253814697,40.0,0.02500000037252903,0.0,True
867809,1715.0,False,0.5230001211166382,-184.0,0.0,0.0,True,-1.0409281253814697,40.0,0.02500000037252903,0.0,True
867810,1715.0,False,0.5230001211166382,-184.0,0.05000000074505806,0.0,True,-1.0409281253814697,40.0,0.1875,0.0,True
867811,1715.0,False,0.5230001211166382,-184.0,0.05000000074505806,0.0,True,-1.0409281253814697,40.0,0.1875,0.0,True
867812,1716.0,False,0.5230001211166382,-184.0,0.0625,0.0,True,-1.0409281253814697,40.0,-0.02500000037252903,0.0,True
867813,1715.0,False,0.5230001211166382,-184.0,0.0625,0.0,True,-1.0409281253814697,40.0,-0.02500000037252903,0.0,True
867814,1715.0,False,0.5230001211166382,-184.0,0.0625,0.0,True,-1.0409281253814697,40.0,-0.02500000037252903,0.0,True
867815,1715.0,False,0.5230001211166382,-184.0,0.0625,0.0,True,-1.0409281253814697,40.0,-0.02500000037252903,0.0,True
867816,1716.0,False,0.5230001211166382,-184.0,0.0625,0.0,True,-1.0409281253814697,40.0,-0.02500000037252903,0.0,True
867817,1715.0,False,0.5230001211166382,-184.0,0.07500000298023224,0.0,True,-1.0409281253814697,40.0,0.13750000298023224,0.0,True
867818,1715.0,False,0.5230001211166382,-184.0,0.07500000298023224,0.0,True,-1.0409281253814697,40.0,0.13750000298023224,0.0,True
867819,1716.0,False,0.5230001211166382,-184.0,0.03750000149011612,0.0,True,-1.0409281253814697,40.0,0.17499999701976776,0.0,True
867820,1715.0,False,0.5230001211166382,-184.0,-0.10000000149011612,0.0,True,-1.0409281253814697,40.0,0.012500000186264515,0.0,True
867821,1715.0,False,0.5230001211166382,-184.0,-0.10000000149011612,0.0,True,-1.0409281253814697,40.0,0.012500000186264515,0.0,True
867822,1716.0,False,0.5230001211166382,-184.0,-0.10000000149011612,0.0,True,-1.0409281253814697,40.0,0.012500000186264515,0.0,True
867823,1715.0,False,0.5230001211166382,-184.0,0.012500000186264515,0.0,True,-1.0409281253814697,40.0,0.02500000037252903,0.0,True
867824,1715.0,False,0.5230001211166382,-184.0,0.012500000186264515,0.0,True,-1.0409281253814697,40.0,0.02500000037252903,0.0,True
867825,1716.0,False,0.5230001211166382,-184.0,0.22499999403953552,0.0,True,-1.0409281253814697,40.0,0.15000000596046448,0.0,True
